,,,,,,,,,,,,,,,,,
Caterer Name,LITTLE CHEF,,,,,,,,,,,,,,,,
Logo,,,,,,,,,,,,,,,,,
Monday,1-Sep-14,,Tuesday,2-Sep-14,,Wednesday,3-Sep-14,,Thursday,4-Sep-14,,Friday,5-Sep-14,,Saturday,6-Sep-14,
Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal),Category,Menuitems,Calories (Kcal)
Gravy Veg,Methi Ke Gatte,121,Gravy Veg,Malai Paneer,181,Gravy Veg,Nargisi Kofta,186,Gravy Veg,Paneer Lababdar,191,Gravy Veg,Bhaji Masala,135,Gravy Veg,Mushroom Makhana,181
Dry Veg,Masala Aloo,112,Dry Veg,Mix Veg,113,Dry Veg,Haandi Soya,133,Dry Veg,Latpati Tori Masala,115,Dry Veg,Sabz Haandi,121,Dry Veg,Bhindi do Pyaza,111
Dal,Amritsari Choley,145,Dal,Dal Moong Palak,121,Dal,Channe Ki Dal,119,Dal,Lobia Masala,121,Dal,Rajma,127,Dal,Paanchmili Dal,120
Rice,Plain Rice,120,Rice,Onion Rice,118,Rice,Peas Pulao,120,Rice,Jeera Chaawal,121,Rice,Sabz Pulao,120,Rice,Masala Rice,112
Bread,Tawa Roti,80,Bread,Tawa Roti,80,Bread ,Tawa Roti,80,Bread,Tawa Roti,80,Bread,Tawa Roti/Pao,80/131,Bread,Tawa Roti,80
Salad,Green Salad,95,Salad,Sprout Salad,114,Salad,Macaroni Salad,125,Salad,Green Salad,95,Salad,Kashmiri Laccha,95,Salad,Kala Channa Salad,60
Accom,Pickle/Papad,35,Accom,Pickle/Papad,35,Accom,Pickle/Papad,35,Accom,Pickle/Papad,35,Accom,Pickle/Papad,35,Accom,Pickle/Papad,35
Raita,Boondi Raita,110,Raita,Masala Raita,111,Raita,Dahi Bhalla,115,Raita,Chaach,121,Raita,Aam Panna,140,Raita,Plain Raita,112
Dessert / Fruit,Gulab Jamun,195,Dessert / Fruit,Besan Ki Burfi,195,Dessert,Moong Dal Halwa,188,Dessert / Fruit,Kesar Phirni,180,Dessert / Fruit,Ice Cream,200,Dessert / Fruit,Coconut Roll,210
Non Veg,Egg Curry,185,Non Veg,,,Nonveg ,Murg Biryani,195,Non Veg,,,Non Veg,Bhuna Murg,195,Non Veg,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
